Province/State,Country/Region,Lat,Long,Date,Confirmed,no_of_deaths,Recovered,Active,WHO Region,Total,Month,4days_avg,Difference,diff_death_and_recovered
Unknown,Kosovo,42.602636,20.902977,2020-05-28,1048,30,801,217,Europe,2096,5,1202.0,1041.0,771
Northern Territory,Australia,-12.4634,130.8456,2020-06-08,29,0,29,0,Western Pacific,58,6,1178.75,-1019.0,29
Unknown,Benin,9.3077,2.3158,2020-02-01,0,0,0,0,Africa,0,2,271.0,-29.0,0
Unknown,Uzbekistan,41.377491,64.585262,2020-02-13,0,0,0,0,Europe,0,2,269.25,0.0,0
Unknown,Cameroon,3.848,11.5021,2020-02-22,0,0,0,0,Africa,0,2,7.25,0.0,0
Unknown,Zambia,-13.133897,27.849332,2020-06-26,1531,21,1233,277,Africa,3062,6,382.75,1531.0,1212
Unknown,Nepal,28.1667,84.25,2020-02-11,1,0,0,1,South-East Asia,2,2,383.0,-1530.0,0
Unknown,Ireland,53.1424,-7.6921,2020-05-11,23135,1467,17110,4558,Europe,46270,5,6166.75,23134.0,15643
Unknown,South Korea,35.90775700000001,127.766922,2020-05-04,10804,254,9283,1267,Western Pacific,21608,5,8867.75,-12331.0,9029
Unknown,Ethiopia,9.145,40.4897,2020-06-22,4663,75,1297,3291,Africa,9326,6,9650.75,-6141.0,1222
Unknown,Brunei,4.5353,114.7277,2020-02-26,0,0,0,0,Western Pacific,0,2,9650.5,-4663.0,0
Unknown,San Marino,43.9424,12.4578,2020-04-07,279,34,40,205,Europe,558,4,3936.5,279.0,6
Unknown,Brunei,4.5353,114.7277,2020-04-06,135,1,82,52,Western Pacific,270,4,1269.25,-144.0,81
Shanxi,China,37.5777,112.2922,2020-06-12,198,0,198,0,Western Pacific,396,6,153.0,63.0,198
Unknown,Albania,41.1533,20.1683,2020-03-26,174,6,17,151,Europe,348,3,196.5,-24.0,11
